net,length_um
net1010,93.64µm
net227,93.3µm
net292,93.225µm
net373,93.2µm
pe_array\[1\].u_pe.weight_in\[7\],93.06µm
_1393_,92.6µm
net445,92.4µm
net299,92.26µm
_0567_,92.2µm
_3668_,92.14µm
net189,91.86µm
net168,91.74µm
pe_array\[3\].u_pe.weight_in\[2\],91.63µm
net333,91.34µm
net433,91µm
net160,90.89µm
net447,90.82µm
net388,90.7µm
_4243_,90.65µm
net461,90.035µm
net1006,89.51µm
net639,88.84µm
_3916_,88.59µm
net261,88.54µm
net426,88.34µm
_3580_,88.2µm
pe_array\[0\].u_pe.weight_in\[7\],88.16µm
clknet_leaf_0_clk,88.14µm
net451,87.95µm
clknet_leaf_5_clk,87.92µm
net222,87.66µm
clknet_leaf_26_clk,87.64µm
net305,87.55µm
net376,87.28µm
_2543_,87.27µm
net874,86.62µm
net309,86.435µm
net642,86.33µm
net178,85.91µm
net171,85.53µm
net233,85.43µm
net190,85.29µm
clknet_leaf_40_clk,84.98µm
net278,84.95µm
net195,84.64µm
net191,84.58µm
net400,84.155µm
net207,84.14µm
net612,83.99µm
net361,83.84µm
net181,83.26µm
net466,83.065µm
net443,82.98µm
net1025,82.72µm
net745,82.64µm
net516,82.51µm
_3978_,82.26µm
net315,81.86µm
_3322_,81.84µm
net268,81.8µm
net307,81.63µm
clknet_leaf_13_clk,81.2µm
_3508_,81.12µm
clknet_leaf_11_clk,80.88µm
net260,80.7µm
net313,80.46µm
net174,80.38µm
net211,80.13µm
pe_array\[2\].u_pe.weight_in\[1\],79.68µm
_3536_,79.64µm
net289,79.46µm
net215,79.38µm
_2698_,79.32µm
net481,79.3µm
net347,79.085µm
_1199_,78.96µm
net272,78.96µm
net248,78.93µm
_2821_,78.84µm
net873,78.78µm
net349,78.66µm
pe_array\[1\].u_pe.accum_reg\[5\],78.47µm
_1683_,78.04µm
net314,77.9µm
net196,77.52µm
_1418_,77.48µm
net205,77.42µm
net363,77.22µm
net483,77µm
net250,76.88µm
net437,76.84µm
clknet_leaf_59_clk,76.8µm
pe_array\[0\].u_pe.weight_in\[5\],76.74µm
