net,length_um
_2391_,21.08µm
_3285_,21.08µm
pe_array\[3\].u_pe.tap_count\[0\],21.08µm
_3538_,21.01µm
_0836_,21µm
_4177_,21µm
_2513_,20.995µm
_3078_,20.96µm
_0454_,20.94µm
_1563_,20.94µm
_1899_,20.94µm
_2074_,20.94µm
_1552_,20.92µm
_0635_,20.88µm
_3245_,20.88µm
_2225_,20.87µm
_0811_,20.86µm
pe_array\[0\].u_pe.accum_reg\[24\],20.81µm
_1844_,20.8µm
_0496_,20.74µm
_0451_,20.72µm
net1008,20.72µm
_0637_,20.7µm
_3532_,20.7µm
_2749_,20.68µm
net686,20.62µm
_3766_,20.58µm
_0713_,20.56µm
_3625_,20.56µm
_2070_,20.54µm
_2542_,20.54µm
_3890_,20.54µm
_4002_,20.54µm
_4020_,20.54µm
_4265_,20.525µm
_2793_,20.52µm
pe_array\[0\].u_pe.accum_reg\[2\],20.52µm
_1492_,20.485µm
_3568_,20.48µm
_0523_,20.45µm
_0976_,20.44µm
_1629_,20.44µm
_3878_,20.44µm
_3704_,20.42µm
_3095_,20.4µm
_3600_,20.4µm
_4124_,20.38µm
_2650_,20.36µm
_0585_,20.34µm
_0740_,20.34µm
_0893_,20.34µm
_0091_,20.325µm
_3091_,20.3µm
_3612_,20.3µm
_4333_,20.3µm
_2037_,20.28µm
_3000_,20.28µm
_1369_,20.24µm
_1534_,20.24µm
net981,20.24µm
_0709_,20.22µm
_1330_,20.22µm
_3648_,20.22µm
_0719_,20.2µm
_2071_,20.2µm
_2228_,20.2µm
_4095_,20.2µm
_1611_,20.18µm
_1463_,20.16µm
_4360_,20.16µm
_0493_,20.12µm
_1176_,20.08µm
_2667_,20.08µm
_2587_,20.06µm
_2824_,20.06µm
_3048_,20.06µm
_4407_,20.04µm
_0658_,20.02µm
pe_array\[1\].u_pe.accum_reg\[11\],20.02µm
_4381_,20µm
_1738_,19.96µm
_2343_,19.96µm
_3338_,19.94µm
_3013_,19.92µm
_1815_,19.9µm
_1093_,19.88µm
_1581_,19.86µm
_2342_,19.84µm
_3547_,19.84µm
_0601_,19.82µm
_2869_,19.82µm
_3233_,19.82µm
_3592_,19.82µm
_1459_,19.8µm
_1059_,19.78µm
result_data[60],19.77µm
_2864_,19.76µm
_4034_,19.76µm
_2224_,19.74µm
_2087_,19.72µm
_2461_,19.68µm
_0202_,19.665µm
_2589_,19.66µm
net450,19.66µm
_2305_,19.655µm
_1986_,19.62µm
_3972_,19.62µm
_2220_,19.6µm
_1891_,19.58µm
_3548_,19.56µm
_3520_,19.52µm
_0868_,19.5µm
_1650_,19.5µm
_4058_,19.5µm
pe_array\[3\].u_pe.accum_reg\[21\],19.5µm
_1432_,19.46µm
clknet_leaf_14_clk,19.44µm
_0660_,19.4µm
_2315_,19.4µm
_2433_,19.4µm
_3824_,19.38µm
_1483_,19.36µm
_1635_,19.36µm
_2952_,19.36µm
_0505_,19.32µm
net828,19.32µm
_2319_,19.3µm
_2904_,19.3µm
_3602_,19.3µm
_1146_,19.26µm
_1811_,19.26µm
_1402_,19.24µm
_3533_,19.2µm
valid_in,19.19µm
_0195_,19.18µm
_4256_,19.18µm
_2167_,19.17µm
_2033_,19.16µm
_2094_,19.16µm
pe_array\[1\].u_pe.accum_reg\[10\],19.14µm
net541,19.13µm
_3849_,19.12µm
_1836_,19.08µm
_4440_,19.08µm
net562,19.08µm
net974,19.08µm
_1411_,19.06µm
_1123_,19.04µm
_4345_,19.02µm
_1644_,19.015µm
_2621_,19µm
_1634_,18.98µm
net901,18.975µm
pe_array\[3\].u_pe.accum_reg\[19\],18.96µm
net580,18.94µm
net653,18.92µm
_1236_,18.9µm
_1377_,18.9µm
_0453_,18.88µm
_0947_,18.86µm
_2320_,18.86µm
_2476_,18.86µm
_2496_,18.86µm
_3528_,18.86µm
_4071_,18.86µm
_0186_,18.84µm
_2528_,18.84µm
_4119_,18.84µm
_1522_,18.82µm
net533,18.82µm
_4391_,18.78µm
_1835_,18.74µm
_1264_,18.7µm
_2427_,18.7µm
_2444_,18.7µm
_1639_,18.68µm
_3302_,18.68µm
_4398_,18.68µm
_4416_,18.68µm
pe_array\[1\].u_pe.accum_reg\[1\],18.66µm
_1313_,18.64µm
_1324_,18.62µm
_3918_,18.62µm
_2880_,18.58µm
_0710_,18.54µm
_1953_,18.54µm
_2955_,18.54µm
_0514_,18.48µm
_3458_,18.48µm
net941,18.44µm
net971,18.44µm
_1671_,18.42µm
_3447_,18.42µm
pe_array\[1\].u_pe.tap_count\[0\],18.42µm
_1556_,18.4µm
_2738_,18.4µm
_3324_,18.4µm
_1579_,18.38µm
_1895_,18.34µm
_3710_,18.34µm
_2015_,18.33µm
_1009_,18.32µm
_1662_,18.32µm
_2438_,18.32µm
_2470_,18.3µm
net985,18.28µm
_0839_,18.25µm
_1034_,18.24µm
_1063_,18.24µm
_2453_,18.24µm
_3099_,18.24µm
_4341_,18.24µm
pe_array\[3\].u_pe.accum_reg\[11\],18.23µm
_0955_,18.22µm
result_data[62],18.21µm
_2612_,18.18µm
_3925_,18.16µm
_2060_,18.14µm
_0166_,18.125µm
pe_array\[0\].u_pe.tap_count\[1\],18.1µm
_3212_,18.08µm
_3733_,18.08µm
net959,18.08µm
_4260_,18.06µm
_4342_,18.06µm
net1003,18.02µm
_0466_,18µm
_1249_,18µm
result_data[43],17.99µm
_0212_,17.985µm
_1739_,17.985µm
_2381_,17.98µm
_2515_,17.98µm
_3780_,17.98µm
_2551_,17.96µm
_4057_,17.96µm
_3265_,17.94µm
_3901_,17.94µm
_3134_,17.92µm
_1557_,17.9µm
net1016,17.9µm
_0910_,17.88µm
pe_array\[2\].u_pe.accum_reg\[25\],17.88µm
_0207_,17.865µm
_2607_,17.86µm
net894,17.86µm
_0802_,17.84µm
_1839_,17.84µm
_2851_,17.84µm
result_data[109],17.84µm
net957,17.82µm
_2666_,17.8µm
_2407_,17.78µm
_2679_,17.78µm
pe_array\[0\].u_pe.accum_reg\[13\],17.78µm
_2140_,17.76µm
_0926_,17.74µm
net972,17.74µm
_2508_,17.72µm
_2193_,17.7µm
_2286_,17.7µm
_1504_,17.68µm
_2531_,17.68µm
_3389_,17.66µm
pe_array\[0\].u_pe.accum_reg\[12\],17.66µm
_0774_,17.64µm
_3544_,17.64µm
_3709_,17.64µm
_3987_,17.64µm
_2518_,17.63µm
_1648_,17.62µm
_3076_,17.62µm
_1048_,17.6µm
_3790_,17.6µm
_3770_,17.58µm
net82,17.56µm
_2207_,17.54µm
result_data[55],17.53µm
_2128_,17.52µm
_2156_,17.465µm
_2425_,17.46µm
_3686_,17.46µm
_0689_,17.43µm
_2693_,17.42µm
_3286_,17.42µm
_3347_,17.42µm
_4351_,17.42µm
_0603_,17.4µm
_2219_,17.4µm
_1621_,17.37µm
_3325_,17.36µm
_1890_,17.32µm
_1920_,17.32µm
_1978_,17.32µm
net979,17.32µm
result_data[61],17.31µm
_3862_,17.3µm
_0457_,17.28µm
_1035_,17.28µm
_3030_,17.28µm
_0787_,17.26µm
_2682_,17.26µm
net909,17.24µm
_1974_,17.22µm
_2974_,17.22µm
_4090_,17.22µm
_4323_,17.21µm
_1911_,17.2µm
_3611_,17.2µm
_3921_,17.2µm
_0921_,17.16µm
_1584_,17.16µm
_3752_,17.16µm
_3754_,17.12µm
_0513_,17.1µm
_2264_,17.1µm
_3468_,17.1µm
net948,17.1µm
_2520_,17.08µm
_3331_,17.08µm
_0554_,17.06µm
_1258_,17.06µm
pe_array\[2\].u_pe.accum_reg\[11\],17.06µm
net1019,17.06µm
_0096_,17.04µm
pe_array\[2\].u_pe.accum_reg\[4\],17.04µm
_0881_,17.02µm
_2121_,17.02µm
net127,17.02µm
_1840_,17µm
_0746_,16.98µm
_1585_,16.98µm
_2103_,16.98µm
_3086_,16.98µm
_2767_,16.97µm
net896,16.96µm
_0450_,16.94µm
_0652_,16.94µm
pe_array\[0\].u_pe.accum_reg\[10\],16.94µm
_0479_,16.92µm
_1923_,16.91µm
_3266_,16.91µm
_3313_,16.9µm
_0161_,16.865µm
_2763_,16.84µm
_0517_,16.82µm
_1626_,16.82µm
_3315_,16.82µm
_0526_,16.8µm
_2926_,16.795µm
_0609_,16.78µm
_1877_,16.78µm
_1465_,16.74µm
_2435_,16.74µm
_3374_,16.74µm
pe_array\[3\].u_pe.accum_reg\[0\],16.74µm
_0851_,16.72µm
_2630_,16.72µm
_3058_,16.72µm
_2557_,16.7µm
_4054_,16.7µm
_1232_,16.68µm
_1753_,16.675µm
_2030_,16.66µm
_1074_,16.64µm
_2706_,16.64µm
_3415_,16.64µm
result_data[40],16.63µm
result_data[57],16.63µm
_1155_,16.62µm
_1608_,16.62µm
_1687_,16.62µm
_3121_,16.62µm
_0683_,16.6µm
_1713_,16.6µm
_2372_,16.6µm
_2726_,16.6µm
result_data[67],16.6µm
clknet_leaf_12_clk,16.6µm
_2878_,16.58µm
_3742_,16.58µm
_0528_,16.56µm
_0575_,16.56µm
_1927_,16.56µm
net87,16.56µm
net924,16.56µm
net1004,16.56µm
_2805_,16.55µm
_2495_,16.525µm
_1791_,16.52µm
_4326_,16.52µm
net986,16.52µm
_2020_,16.5µm
_0555_,16.49µm
_2514_,16.49µm
_4267_,16.48µm
net961,16.48µm
_1742_,16.46µm
_2166_,16.46µm
_2956_,16.44µm
_4172_,16.44µm
_2056_,16.42µm
_1254_,16.4µm
_4239_,16.4µm
_1460_,16.36µm
_0211_,16.355µm
_0456_,16.34µm
_0488_,16.34µm
_1871_,16.34µm
_2918_,16.32µm
_1295_,16.3µm
_2059_,16.3µm
_2759_,16.3µm
_0987_,16.28µm
_2522_,16.28µm
_3943_,16.27µm
_3681_,16.26µm
_2590_,16.255µm
_2983_,16.24µm
_3703_,16.24µm
result_data[113],16.24µm
result_data[3],16.24µm
_3613_,16.23µm
_0519_,16.22µm
_3998_,16.22µm
net100,16.22µm
net108,16.22µm
_0086_,16.185µm
_0776_,16.18µm
_2922_,16.18µm
_3433_,16.18µm
_4173_,16.18µm
_4361_,16.18µm
_1268_,16.16µm
_3445_,16.16µm
_4273_,16.16µm
pe_array\[3\].u_pe.accum_reg\[16\],16.16µm
pe_array\[3\].u_pe.tap_count\[3\],16.16µm
_2269_,16.14µm
clknet_leaf_25_clk,16.14µm
_1347_,16.12µm
_1613_,16.12µm
_3603_,16.12µm
_3823_,16.1µm
net956,16.08µm
_1326_,16.065µm
_0712_,16.06µm
_1620_,16.06µm
_1807_,16.06µm
_2860_,16.06µm
_2294_,16.04µm
_4443_,16.025µm
_3777_,15.99µm
_0727_,15.98µm
_3828_,15.98µm
pe_accum\[1\]\[0\],15.98µm
pe_array\[0\].u_pe.tap_count\[2\],15.98µm
result_data[56],15.97µm
_2041_,15.96µm
_3706_,15.96µm
_0688_,15.94µm
_1535_,15.94µm
_2780_,15.88µm
_2828_,15.84µm
_0573_,15.82µm
_2252_,15.82µm
_2454_,15.82µm
_4030_,15.82µm
_3565_,15.81µm
_3289_,15.8µm
_3444_,15.8µm
result_data[4],15.8µm
clknet_leaf_15_clk,15.78µm
net983,15.78µm
_2474_,15.76µm
_3369_,15.76µm
_3761_,15.76µm
_1284_,15.74µm
_0486_,15.72µm
_0606_,15.72µm
_1445_,15.72µm
pe_array\[2\].u_pe.tap_count\[2\],15.72µm
_0715_,15.7µm
_1540_,15.7µm
_1565_,15.7µm
_1590_,15.7µm
_3913_,15.7µm
_4033_,15.7µm
_2853_,15.68µm
_3187_,15.68µm
result_data[27],15.68µm
_4251_,15.66µm
_4191_,15.64µm
_1518_,15.605µm
_1475_,15.6µm
_3320_,15.58µm
_0892_,15.56µm
_1521_,15.56µm
_2244_,15.56µm
_2546_,15.56µm
_4088_,15.56µm
_0793_,15.54µm
_1070_,15.52µm
_3794_,15.52µm
_2722_,15.46µm
_3480_,15.46µm
_3678_,15.46µm
_1651_,15.44µm
_3070_,15.44µm
_2336_,15.42µm
_2464_,15.42µm
result_data[127],15.38µm
_3851_,15.37µm
_1159_,15.36µm
_1476_,15.36µm
_2631_,15.36µm
_3473_,15.36µm
_4081_,15.36µm
_4185_,15.34µm
_1527_,15.32µm
_3035_,15.32µm
_3574_,15.32µm
_1044_,15.3µm
_1374_,15.3µm
_1707_,15.3µm
net124,15.3µm
_4005_,15.28µm
_4149_,15.28µm
_3827_,15.255µm
_1096_,15.24µm
_4052_,15.24µm
_1117_,15.22µm
net1012,15.22µm
_0752_,15.21µm
_4142_,15.2µm
_2532_,15.18µm
net958,15.16µm
result_data[59],15.15µm
_2897_,15.14µm
_4075_,15.14µm
_1785_,15.12µm
_3682_,15.12µm
net926,15.12µm
_3327_,15.1µm
_3328_,15.1µm
_3765_,15.1µm
_4428_,15.1µm
_2216_,15.08µm
_2778_,15.08µm
_4285_,15.08µm
net975,15.08µm
_0461_,15.06µm
_2779_,15.06µm
_4307_,15.06µm
_1010_,15.04µm
_2902_,15.04µm
_3440_,15.04µm
_3443_,15.04µm
pe_array\[2\].u_pe.accum_reg\[22\],15.04µm
_2541_,15.025µm
_2009_,15.02µm
_2177_,15.02µm
net964,15.02µm
_0197_,15.005µm
_3224_,15µm
_3657_,15µm
_2502_,14.98µm
_1525_,14.96µm
_2282_,14.96µm
pe_array\[0\].u_pe.accum_reg\[8\],14.96µm
_0838_,14.94µm
_1141_,14.92µm
_1263_,14.92µm
_1820_,14.92µm
_2249_,14.92µm
net916,14.92µm
_1625_,14.91µm
_0443_,14.9µm
_1867_,14.9µm
_4317_,14.9µm
_1237_,14.88µm
_1631_,14.88µm
_1943_,14.88µm
_2694_,14.88µm
_3896_,14.88µm
_4106_,14.88µm
result_data[68],14.88µm
net993,14.88µm
_0757_,14.86µm
_2823_,14.86µm
_3694_,14.86µm
_0452_,14.84µm
_0783_,14.84µm
_0952_,14.84µm
_1076_,14.84µm
_3240_,14.84µm
_3479_,14.84µm
_0739_,14.82µm
_4382_,14.82µm
_1813_,14.8µm
_2085_,14.8µm
_0657_,14.78µm
_0666_,14.78µm
_2165_,14.78µm
pe_array\[0\].u_pe.accum_reg\[9\],14.78µm
_3726_,14.74µm
_0210_,14.735µm
_1850_,14.72µm
_2953_,14.72µm
_3509_,14.72µm
net600,14.72µm
_3663_,14.7µm
_0584_,14.68µm
_0630_,14.68µm
_2104_,14.68µm
_4325_,14.68µm
_3932_,14.66µm
_0704_,14.65µm
_4084_,14.64µm
_4356_,14.61µm
_0644_,14.6µm
_2050_,14.6µm
_4247_,14.6µm
_4421_,14.6µm
_0177_,14.585µm
_2567_,14.585µm
_2079_,14.58µm
_3380_,14.58µm
_0569_,14.56µm
_2582_,14.56µm
_3659_,14.56µm
_3993_,14.56µm
net963,14.54µm
_0634_,14.52µm
_1793_,14.52µm
_0617_,14.5µm
_3655_,14.5µm
_3654_,14.49µm
_3353_,14.48µm
result_data[58],14.47µm
_3474_,14.44µm
_3747_,14.44µm
_3953_,14.44µm
_4170_,14.44µm
_0146_,14.435µm
_1803_,14.42µm
_3523_,14.42µm
_0720_,14.4µm
_1670_,14.4µm
_2437_,14.4µm
_2563_,14.4µm
_3296_,14.4µm
_4277_,14.38µm
pe_array\[2\].u_pe.accum_reg\[16\],14.38µm
_0114_,14.345µm
_1277_,14.32µm
_1652_,14.32µm
_2544_,14.32µm
_2963_,14.32µm
result_data[121],14.32µm
_0760_,14.3µm
_1113_,14.3µm
_1711_,14.3µm
_4189_,14.3µm
_4376_,14.3µm
net992,14.3µm
_3310_,14.28µm
_2397_,14.26µm
_2987_,14.26µm
clknet_leaf_62_clk,14.26µm
_0510_,14.245µm
_1346_,14.24µm
_3605_,14.24µm
_0462_,14.22µm
_1462_,14.22µm
_1694_,14.22µm
_4434_,14.21µm
_0918_,14.2µm
_3222_,14.2µm
_1664_,14.18µm
_1693_,14.18µm
_2368_,14.18µm
_3156_,14.18µm
_0572_,14.17µm
_1757_,14.15µm
_0682_,14.14µm
_2162_,14.14µm
_2602_,14.14µm
_2727_,14.14µm
_3062_,14.14µm
pe_array\[3\].u_pe.accum_reg\[12\],14.14µm
_0935_,14.135µm
_3332_,14.13µm
_3782_,14.13µm
net903,14.12µm
_1091_,14.1µm
_1573_,14.1µm
net872,14.1µm
net960,14.1µm
_2714_,14.08µm
_1069_,14.06µm
_1955_,14.06µm
_2586_,14.06µm
pe_array\[2\].u_pe.accum_reg\[23\],14.06µm
_0636_,14.04µm
_2654_,14.04µm
_2671_,14.04µm
_2054_,14.035µm
_2362_,14.03µm
_3116_,14.02µm
_4420_,14.02µm
_0627_,14µm
_1889_,14µm
_4431_,14µm
_2768_,13.99µm
_1110_,13.98µm
_1947_,13.98µm
_3361_,13.98µm
_0502_,13.96µm
_1847_,13.96µm
_2524_,13.96µm
_2556_,13.96µm
_3297_,13.96µm
_4304_,13.96µm
result_data[71],13.96µm
result_data[88],13.96µm
result_data[92],13.96µm
net997,13.96µm
_0827_,13.94µm
_3038_,13.94µm
_1407_,13.92µm
_1619_,13.92µm
_3226_,13.92µm
pe_accum\[2\]\[24\],13.92µm
_3954_,13.91µm
_2819_,13.88µm
_3081_,13.88µm
pe_array\[2\].u_pe.accum_reg\[12\],13.88µm
pe_array\[3\].u_pe.accum_reg\[31\],13.88µm
net101,13.88µm
net922,13.88µm
_0469_,13.86µm
_1482_,13.86µm
_3599_,13.86µm
_0535_,13.84µm
_1618_,13.84µm
_4137_,13.84µm
net940,13.84µm
_1952_,13.82µm
_2259_,13.82µm
_4270_,13.82µm
_2610_,13.8µm
_3723_,13.8µm
net40,13.8µm
net933,13.8µm
net977,13.8µm
_3503_,13.78µm
_1280_,13.76µm
_2181_,13.76µm
_2339_,13.76µm
_3283_,13.76µm
_3464_,13.76µm
net1000,13.76µm
_0693_,13.74µm
_4303_,13.74µm
pe_array\[1\].u_pe.tap_count\[3\],13.74µm
_0845_,13.72µm
_2258_,13.72µm
net921,13.72µm
_1706_,13.7µm
_2509_,13.7µm
_3898_,13.7µm
pe_array\[1\].u_pe.accum_reg\[7\],13.7µm
_0435_,13.68µm
_0631_,13.68µm
_1255_,13.68µm
_1293_,13.68µm
_2355_,13.68µm
_3693_,13.68µm
_4281_,13.68µm
pe_array\[1\].u_pe.weight_in\[2\],13.66µm
_2155_,13.655µm
_0714_,13.64µm
_1394_,13.64µm
_2268_,13.64µm
_3110_,13.64µm
_4324_,13.64µm
_2466_,13.62µm
pe_array\[2\].u_pe.tap_count\[1\],13.62µm
_1151_,13.6µm
_3431_,13.6µm
_0144_,13.585µm
_1288_,13.58µm
_3647_,13.58µm
pe_array\[1\].u_pe.tap_count\[2\],13.58µm
_1499_,13.56µm
_1712_,13.56µm
_4332_,13.56µm
net968,13.56µm
_3063_,13.54µm
_2984_,13.52µm
_1623_,13.5µm
_2335_,13.5µm
_3042_,13.5µm
_3590_,13.5µm
_3615_,13.5µm
_3857_,13.5µm
pe_array\[0\].u_pe.tap_count\[0\],13.5µm
result_data[0],13.5µm
result_data[19],13.5µm
result_data[65],13.5µm
net84,13.5µm
net102,13.5µm
net911,13.5µm
_1788_,13.48µm
_3596_,13.48µm
_3988_,13.48µm
_3671_,13.47µm
_0797_,13.46µm
_2550_,13.46µm
_3575_,13.46µm
_4015_,13.44µm
_1533_,13.42µm
_1949_,13.42µm
_2385_,13.42µm
_3034_,13.42µm
_3064_,13.42µm
_3217_,13.42µm
_3442_,13.42µm
_4352_,13.42µm
_0184_,13.415µm
_0779_,13.4µm
_1779_,13.4µm
_2690_,13.4µm
_3773_,13.4µm
_1612_,13.38µm
_3271_,13.38µm
_3875_,13.38µm
_4429_,13.38µm
pe_array\[2\].u_pe.accum_reg\[9\],13.38µm
net930,13.38µm
_0692_,13.375µm
_1128_,13.36µm
_1367_,13.36µm
_2306_,13.36µm
_3720_,13.36µm
_0803_,13.35µm
_1531_,13.34µm
net915,13.34µm
_0501_,13.3µm
_1660_,13.3µm
_1832_,13.3µm
_3414_,13.3µm
net970,13.3µm
net1001,13.3µm
_0534_,13.28µm
_2465_,13.28µm
_2250_,13.27µm
_0638_,13.26µm
_1681_,13.26µm
_0206_,13.255µm
_0798_,13.24µm
_2035_,13.24µm
_3250_,13.24µm
_4386_,13.24µm
pe_array\[2\].u_pe.accum_reg\[1\],13.24µm
_1932_,13.22µm
_0744_,13.2µm
_3026_,13.2µm
_3390_,13.2µm
_0737_,13.19µm
_1308_,13.18µm
_4246_,13.18µm
_0258_,13.165µm
_1976_,13.16µm
_3880_,13.16µm
_0612_,13.14µm
_2660_,13.14µm
_3133_,13.14µm
_3254_,13.14µm
_4160_,13.14µm
_4312_,13.14µm
_0552_,13.12µm
_2800_,13.12µm
_3009_,13.12µm
net92,13.12µm
_1290_,13.1µm
_1493_,13.08µm
_1449_,13.06µm
_1614_,13.06µm
_2313_,13.06µm
_3986_,13.06µm
_4022_,13.06µm
_4378_,13.06µm
_3554_,13.04µm
_3585_,13.04µm
_4288_,13.04µm
_4320_,13.04µm
pe_array\[2\].u_pe.accum_reg\[13\],13.04µm
result_data[24],13.04µm
result_data[26],13.04µm
result_data[64],13.04µm
result_data[6],13.04µm
result_data[72],13.04µm
result_data[85],13.04µm
result_data[90],13.04µm
result_data[91],13.04µm
result_data[94],13.04µm
result_data[95],13.04µm
result_data[9],13.04µm
_2199_,13.03µm
result_data[10],13.03µm
_0645_,13.02µm
_1241_,13.02µm
_1827_,13.02µm
_1914_,13.02µm
_3466_,13.02µm
_0696_,13µm
_1796_,13µm
_2298_,13µm
_3260_,13µm
_4410_,13µm
_2379_,12.98µm
_2988_,12.98µm
_4388_,12.98µm
_3955_,12.97µm
_0551_,12.96µm
_0941_,12.96µm
_3354_,12.96µm
net938,12.96µm
_3688_,12.955µm
_1769_,12.94µm
pixel_in[2],12.94µm
_2196_,12.92µm
_3045_,12.92µm
net978,12.92µm
net1034,12.92µm
_0640_,12.88µm
_0723_,12.88µm
_1446_,12.88µm
_2857_,12.88µm
_2910_,12.88µm
_3022_,12.88µm
_3929_,12.88µm
pe_array\[0\].u_pe.tap_count\[3\],12.88µm
_0818_,12.86µm
_1008_,12.86µm
_0662_,12.84µm
_4409_,12.84µm
_3750_,12.82µm
_3416_,12.81µm
_0447_,12.8µm
_0610_,12.8µm
_0656_,12.8µm
_3135_,12.8µm
_3808_,12.8µm
_3915_,12.8µm
pe_array\[2\].u_pe.accum_reg\[19\],12.8µm
pe_array\[3\].u_pe.accum_reg\[17\],12.8µm
_2796_,12.795µm
_2388_,12.76µm
_2562_,12.76µm
clknet_leaf_8_clk,12.76µm
net946,12.76µm
_0524_,12.74µm
_0738_,12.74µm
_2040_,12.74µm
_2527_,12.74µm
_0963_,12.72µm
_1598_,12.72µm
_2290_,12.72µm
_2790_,12.72µm
_1122_,12.7µm
_3757_,12.7µm
_3104_,12.68µm
_4032_,12.68µm
pe_array\[3\].u_pe.accum_reg\[18\],12.68µm
_4007_,12.675µm
_0577_,12.66µm
_2614_,12.66µm
_3284_,12.655µm
_1680_,12.64µm
_4150_,12.64µm
pe_array\[1\].u_pe.accum_reg\[17\],12.64µm
result_data[115],12.64µm
_2440_,12.62µm
_3424_,12.62µm
_3515_,12.62µm
_0931_,12.6µm
_1021_,12.6µm
_1030_,12.6µm
_1178_,12.6µm
_1424_,12.6µm
_1964_,12.6µm
_1528_,12.58µm
_3634_,12.58µm
_3774_,12.58µm
_3930_,12.58µm
result_data[1],12.58µm
result_data[25],12.58µm
result_data[28],12.58µm
result_data[29],12.58µm
result_data[2],12.58µm
result_data[30],12.58µm
result_data[31],12.58µm
result_data[5],12.58µm
result_data[66],12.58µm
result_data[69],12.58µm
result_data[70],12.58µm
result_data[7],12.58µm
result_data[8],12.58µm
result_data[93],12.58µm
net93,12.58µm
net107,12.58µm
_2574_,12.56µm
_2932_,12.56µm
_3805_,12.56µm
_3867_,12.56µm
_4069_,12.56µm
_1139_,12.54µm
_1586_,12.54µm
_2617_,12.54µm
_2923_,12.54µm
_2960_,12.54µm
pe_array\[0\].u_pe.accum_reg\[7\],12.54µm
net967,12.54µm
_4003_,12.52µm
_4425_,12.5µm
_1547_,12.48µm
_1723_,12.48µm
_1814_,12.48µm
_0487_,12.46µm
_1150_,12.46µm
_1439_,12.46µm
_1755_,12.46µm
_2329_,12.46µm
_3291_,12.46µm
_3406_,12.46µm
_3430_,12.46µm
_4161_,12.46µm
net929,12.46µm
_2164_,12.44µm
_2743_,12.44µm
_4330_,12.44µm
result_data[38],12.43µm
_1458_,12.42µm
_2370_,12.42µm
_3256_,12.42µm
_3607_,12.42µm
_4151_,12.42µm
_2787_,12.4µm
_3753_,12.4µm
_1690_,12.36µm
_2548_,12.35µm
_3749_,12.35µm
_0945_,12.34µm
_2198_,12.34µm
_1569_,12.32µm
_2664_,12.32µm
_3437_,12.32µm
_3859_,12.3µm
_2403_,12.285µm
_2007_,12.28µm
_2423_,12.26µm
_2526_,12.26µm
_2606_,12.26µm
_3311_,12.26µm
_3486_,12.26µm
_3643_,12.26µm
_3820_,12.26µm
_0623_,12.24µm
_2797_,12.24µm
_0464_,12.22µm
_0615_,12.2µm
_0329_,12.185µm
_0562_,12.18µm
_2109_,12.18µm
_2135_,12.18µm
_2309_,12.18µm
result_data[105],12.18µm
pe_array\[2\].u_pe.accum_reg\[15\],12.17µm
_0597_,12.16µm
_0903_,12.16µm
_2834_,12.16µm
_3673_,12.16µm
_4348_,12.16µm
_3912_,12.15µm
_0655_,12.14µm
_3739_,12.14µm
pe_array\[0\].u_pe.accum_reg\[14\],12.14µm
result_data[117],12.14µm
_0768_,12.12µm
_0788_,12.12µm
_0850_,12.12µm
_1786_,12.12µm
_2462_,12.12µm
_3037_,12.12µm
_3689_,12.12µm
result_data[89],12.12µm
result_valid,12.12µm
_0722_,12.1µm
_1259_,12.1µm
_2057_,12.1µm
_2231_,12.1µm
_2348_,12.1µm
_0671_,12.08µm
_1857_,12.08µm
_3484_,12.08µm
_3900_,12.08µm
_3994_,12.08µm
_4043_,12.08µm
_4350_,12.08µm
_1564_,12.065µm
_2636_,12.06µm
_2808_,12.06µm
_3606_,12.06µm
_2807_,12.04µm
_2986_,12.04µm
_3727_,12.04µm
net154,12.04µm
_3363_,12.035µm
_0830_,12.02µm
_2117_,12.02µm
_3696_,12.02µm
_2276_,12.01µm
_4280_,12.01µm
_0495_,12µm
_1876_,12µm
_2234_,12µm
_2627_,12µm
_2774_,12µm
_3562_,12µm
_0653_,11.98µm
_2206_,11.98µm
_3461_,11.98µm
_3889_,11.98µm
_3965_,11.98µm
_1576_,11.96µm
_1944_,11.96µm
_2566_,11.96µm
_2885_,11.96µm
_3785_,11.96µm
_3944_,11.96µm
_0095_,11.945µm
net126,11.94µm
_4349_,11.925µm
_0673_,11.92µm
_0996_,11.92µm
_1006_,11.92µm
_1302_,11.92µm
net931,11.92µm
_0855_,11.9µm
_4098_,11.9µm
_0822_,11.88µm
_1549_,11.88µm
_1797_,11.88µm
_2898_,11.88µm
_2934_,11.88µm
_3441_,11.88µm
_3856_,11.88µm
net106,11.88µm
net947,11.88µm
net987,11.88µm
net989,11.88µm
_1496_,11.86µm
_0339_,11.845µm
_3047_,11.84µm
_0972_,11.82µm
_2061_,11.8µm
_4014_,11.79µm
_2375_,11.78µm
pe_array\[1\].u_pe.accum_reg\[18\],11.78µm
_0816_,11.76µm
_1087_,11.76µm
_1792_,11.76µm
_3690_,11.76µm
_4423_,11.76µm
result_data[39],11.75µm
_1108_,11.74µm
_2243_,11.74µm
_2771_,11.74µm
_2113_,11.72µm
_0632_,11.7µm
_0806_,11.7µm
_0840_,11.7µm
_1079_,11.7µm
_1853_,11.7µm
_4024_,11.7µm
_0561_,11.68µm
_0804_,11.68µm
_2184_,11.68µm
_2622_,11.68µm
_2663_,11.68µm
_3950_,11.68µm
pe_array\[1\].u_pe.tap_count\[1\],11.68µm
